task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
510	47/1ebec3	2c101749-d9f9-4bec-b2c8-d779071cf970	sourmash_compute_sketch (SRR4050888_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.369	19m 45s	3m 24s	0.0%	3 MB	19.3 MB	7.5 KB	0
511	5c/b2de9e	f0ff70a4-a7c5-48a1-9c07-cc8f883fd94a	sourmash_compute_sketch (SRR4050889_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.609	19m 39s	4m 1s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
513	40/6c9623	4340bffc-7cdd-4767-a599-ebae7ee1c945	sourmash_compute_sketch (SRR4050891_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.721	19m 41s	3m 51s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
512	c4/83ef2a	f08eb35a-5bc7-45ad-aa9d-b30fedb13c24	sourmash_compute_sketch (SRR4050890_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.775	14m 26s	19.5s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
514	66/1da626	89f47d6f-1530-42db-abca-98842d2764db	sourmash_compute_sketch (SRR4050892_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.414	19m 36s	5m 3s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
515	60/8ab4cc	18e1f533-9893-486f-8eeb-7bb414c73e71	sourmash_compute_sketch (SRR4050893_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.668	19m 40s	4m 3s	0.0%	3 MB	19.3 MB	7.5 KB	0
517	66/bab626	d2ecbd9f-3b69-407b-b1c5-b36b3174d047	sourmash_compute_sketch (SRR4050895_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	-	2019-03-11 09:55:38.365	-	-	-	-	-	-	-
518	ff/7fc9ad	ac9330fb-bc1c-4034-ae23-0f57a2b8c5d7	sourmash_compute_sketch (SRR4050896_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.371	19m 36s	5m 16s	0.0%	3 MB	19.3 MB	7.5 KB	0
519	2d/dec623	99a68bf8-4030-4660-98af-f04e782ae2bb	sourmash_compute_sketch (SRR4050897_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.503	19m 37s	2m 55s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
516	ed/e7c993	21736df2-85e1-4d98-b85a-5ba85302bcda	sourmash_compute_sketch (SRR4050894_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.794	19m 42s	4m 53s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
520	2f/7c464f	ee32f891-1e85-4882-91ad-e91466c040ec	sourmash_compute_sketch (SRR4050898_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.495	19m 37s	3m 48s	0.0%	3 MB	19.3 MB	7.5 KB	0
521	e5/a9a03c	b2b668b8-3676-4af7-8713-3a6e18feb361	sourmash_compute_sketch (SRR4050899_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.461	19m 36s	4m 20s	0.0%	3 MB	19.3 MB	7.5 KB	0
522	8f/2ef428	5544e150-84e7-4c15-a86b-2ce517c656dc	sourmash_compute_sketch (SRR4050900_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.546	19m 38s	4m 22s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
523	1f/9c204b	a3c68c5b-7405-4ba8-9d83-47d7bd1b4784	sourmash_compute_sketch (SRR4050901_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	-	2019-03-11 09:55:38.587	-	-	-	-	-	-	-
524	60/c3ca84	08a32d78-08d3-4cac-aa62-67e490c74498	sourmash_compute_sketch (SRR4050902_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.624	19m 39s	4m 47s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
525	49/7652c3	09c119b1-1994-4bb0-973f-f52fda85878b	sourmash_compute_sketch (SRR4050903_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.574	19m 38s	3m 51s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
527	40/b5824a	521aa304-8929-41c3-8020-45a9af127d6f	sourmash_compute_sketch (SRR4050905_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.733	19m 41s	3m 34s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
526	48/5627f2	204fcd5f-7478-4ae4-a37a-1c085c3ff3a5	sourmash_compute_sketch (SRR4050904_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.643	19m 39s	5m 26s	0.0%	3 MB	19.3 MB	7.5 KB	0
529	c0/afcae2	f46e3ed0-7cec-4bad-8c7a-cbf775300191	sourmash_compute_sketch (SRR4050907_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.720	19m 41s	4m	0.0%	3.1 MB	19.3 MB	7.5 KB	0
528	af/1cf050	ac3f142b-300f-4f9f-837d-f4535271c761	sourmash_compute_sketch (SRR4050906_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.720	19m 40s	2m 50s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
530	cd/0cb1dc	dab0748b-5a0c-4fd6-b9cb-102d127f76a0	sourmash_compute_sketch (SRR4050908_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:41.332	19m 57s	3m 18s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
531	0f/4d7a73	df092145-dff5-4466-b141-e51b97e49089	sourmash_compute_sketch (SRR4050909_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.733	14m 14s	13s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
532	93/814696	2d3faa3f-e4b5-432a-982e-888871f71757	sourmash_compute_sketch (SRR4050910_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.899	19m 43s	2m 51s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
533	26/1f389d	b1fe5c34-f86e-4384-90b9-b1d604b3824f	sourmash_compute_sketch (SRR4050911_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.840	15m 48s	1m 51s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
535	24/0aedeb	b16b90d3-2997-43aa-baac-8eee8261ca7b	sourmash_compute_sketch (SRR4050913_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.941	19m 43s	3m 27s	0.0%	3 MB	19.3 MB	7.5 KB	0
534	a7/b2def4	27fb9d74-555c-4f9f-8f09-ee415e034a74	sourmash_compute_sketch (SRR4050912_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.841	19m 42s	3m 47s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
538	6b/204471	c677d0e6-35d8-4c8c-a74f-0415e9d2cb94	sourmash_compute_sketch (SRR4050916_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:40.593	19m 50s	3m 52s	0.0%	3 MB	19.3 MB	7.5 KB	0
536	cc/83404c	371f5941-98cf-4528-801f-9fcf2aa2b558	sourmash_compute_sketch (SRR4050914_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:38.926	19m 43s	5m 15s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
537	ab/c95003	6967c6f1-11a7-4357-830c-f737b9b61898	sourmash_compute_sketch (SRR4050915_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.012	19m 44s	4m 13s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
